Date,Close
4/23/2019,"$2,933.68"
4/22/2019,"$2,907.97"
4/18/2019,"$2,905.03"
4/17/2019,"$2,900.45"
4/16/2019,"$2,907.06"
4/15/2019,"$2,905.58"
4/12/2019,"$2,907.41"
4/11/2019,"$2,888.32"
4/10/2019,"$2,888.21"
4/9/2019,"$2,878.20"
4/8/2019,"$2,895.77"
4/5/2019,"$2,892.74"
4/4/2019,"$2,879.39"
4/3/2019,"$2,873.40"
4/2/2019,"$2,867.24"
4/1/2019,"$2,867.19"
3/29/2019,"$2,834.40"
3/28/2019,"$2,815.44"
3/27/2019,"$2,805.37"
3/26/2019,"$2,818.46"
3/25/2019,"$2,798.36"
3/22/2019,"$2,800.71"
3/21/2019,"$2,854.88"
3/20/2019,"$2,824.23"
3/19/2019,"$2,832.57"
3/18/2019,"$2,832.94"
3/15/2019,"$2,822.48"
3/14/2019,"$2,808.48"
3/13/2019,"$2,810.92"
3/12/2019,"$2,791.52"
3/11/2019,"$2,783.30"
3/8/2019,"$2,743.07"
3/7/2019,"$2,748.93"
3/6/2019,"$2,771.45"
3/5/2019,"$2,789.65"
3/4/2019,"$2,792.81"
3/1/2019,"$2,803.69"
2/28/2019,"$2,784.49"
2/27/2019,"$2,792.38"
2/26/2019,"$2,793.90"
2/25/2019,"$2,796.11"
2/22/2019,"$2,792.67"
2/21/2019,"$2,774.88"
2/20/2019,"$2,784.70"
2/19/2019,"$2,779.76"
2/15/2019,"$2,775.60"
2/14/2019,"$2,745.73"
2/13/2019,"$2,753.03"
2/12/2019,"$2,744.73"
2/11/2019,"$2,709.80"
2/8/2019,"$2,707.88"
2/7/2019,"$2,706.05"
2/6/2019,"$2,731.62"
2/5/2019,"$2,737.70"
2/4/2019,"$2,724.87"
2/1/2019,"$2,706.53"
1/31/2019,"$2,704.10"
1/30/2019,"$2,681.05"
1/29/2019,"$2,640.00"
1/28/2019,"$2,643.85"
1/25/2019,"$2,664.76"
1/24/2019,"$2,642.33"
1/23/2019,"$2,638.70"
1/22/2019,"$2,632.90"
1/18/2019,"$2,670.71"
1/17/2019,"$2,635.96"
1/16/2019,"$2,616.10"
1/15/2019,"$2,610.30"
1/14/2019,"$2,582.61"
1/11/2019,"$2,596.26"
1/10/2019,"$2,596.64"
1/9/2019,"$2,584.96"
1/8/2019,"$2,574.41"
1/7/2019,"$2,549.69"
1/4/2019,"$2,531.94"
1/3/2019,"$2,447.89"
1/2/2019,"$2,510.03"
12/31/2018,"$2,506.85"
12/28/2018,"$2,485.74"
12/27/2018,"$2,488.83"
12/26/2018,"$2,467.70"
12/24/2018,"$2,351.10"
12/21/2018,"$2,416.62"
12/20/2018,"$2,467.42"
12/19/2018,"$2,506.96"
12/18/2018,"$2,546.16"
12/17/2018,"$2,545.94"
12/14/2018,"$2,599.95"
12/13/2018,"$2,650.54"
12/12/2018,"$2,651.07"
12/11/2018,"$2,636.78"
12/10/2018,"$2,637.72"
12/7/2018,"$2,633.08"
12/6/2018,"$2,695.95"
12/4/2018,"$2,700.06"
12/3/2018,"$2,790.37"
11/30/2018,"$2,760.17"
11/29/2018,"$2,737.76"
11/28/2018,"$2,743.79"
11/27/2018,"$2,682.17"
11/26/2018,"$2,673.45"
11/23/2018,"$2,632.56"
11/21/2018,"$2,649.93"
11/20/2018,"$2,641.89"
11/19/2018,"$2,690.73"
11/16/2018,"$2,736.27"
11/15/2018,"$2,730.20"
11/14/2018,"$2,701.58"
11/13/2018,"$2,722.18"
11/12/2018,"$2,726.22"
11/9/2018,"$2,781.01"
11/8/2018,"$2,806.83"
11/7/2018,"$2,813.89"
11/6/2018,"$2,755.45"
11/5/2018,"$2,738.31"
11/2/2018,"$2,723.06"
11/1/2018,"$2,740.37"
10/31/2018,"$2,711.74"
10/30/2018,"$2,682.63"
10/29/2018,"$2,641.25"
10/26/2018,"$2,658.69"
10/25/2018,"$2,705.57"
10/24/2018,"$2,656.10"
10/23/2018,"$2,740.69"
10/22/2018,"$2,755.88"
10/19/2018,"$2,767.78"
10/18/2018,"$2,768.78"
10/17/2018,"$2,809.21"
10/16/2018,"$2,809.92"
10/15/2018,"$2,750.79"
10/12/2018,"$2,767.13"
10/11/2018,"$2,728.37"
10/10/2018,"$2,785.68"
10/9/2018,"$2,880.34"
10/8/2018,"$2,884.43"
10/5/2018,"$2,885.57"
10/4/2018,"$2,901.61"
10/3/2018,"$2,925.51"
10/2/2018,"$2,923.43"
10/1/2018,"$2,924.59"
9/28/2018,"$2,913.98"
9/27/2018,"$2,914.00"
9/26/2018,"$2,905.97"
9/25/2018,"$2,915.56"
9/24/2018,"$2,919.37"
9/21/2018,"$2,929.67"
9/20/2018,"$2,930.75"
9/19/2018,"$2,907.95"
9/18/2018,"$2,904.31"
9/17/2018,"$2,888.80"
9/14/2018,"$2,904.98"
9/13/2018,"$2,904.18"
9/12/2018,"$2,888.92"
9/11/2018,"$2,887.89"
9/10/2018,"$2,877.13"
9/7/2018,"$2,871.68"
9/6/2018,"$2,878.05"
9/5/2018,"$2,888.60"
9/4/2018,"$2,896.72"
8/31/2018,"$2,901.52"
8/30/2018,"$2,901.13"
8/29/2018,"$2,914.04"
8/28/2018,"$2,897.52"
8/27/2018,"$2,896.74"
8/24/2018,"$2,874.69"
8/23/2018,"$2,856.98"
8/22/2018,"$2,861.82"
8/21/2018,"$2,862.96"
8/20/2018,"$2,857.05"
8/17/2018,"$2,850.13"
8/16/2018,"$2,840.69"
8/15/2018,"$2,818.37"
8/14/2018,"$2,839.96"
8/13/2018,"$2,821.93"
8/10/2018,"$2,833.28"
8/9/2018,"$2,853.58"
8/8/2018,"$2,857.70"
8/7/2018,"$2,858.45"
8/6/2018,"$2,850.40"
8/3/2018,"$2,840.35"
8/2/2018,"$2,827.22"
8/1/2018,"$2,813.37"
7/31/2018,"$2,816.29"
7/30/2018,"$2,802.60"
7/27/2018,"$2,818.82"
7/26/2018,"$2,837.44"
7/25/2018,"$2,846.07"
7/24/2018,"$2,820.40"
7/23/2018,"$2,806.98"
7/20/2018,"$2,801.83"
7/19/2018,"$2,804.49"
7/18/2018,"$2,815.62"
7/17/2018,"$2,809.55"
7/16/2018,"$2,798.43"
7/13/2018,"$2,801.31"
7/12/2018,"$2,798.29"
7/11/2018,"$2,774.02"
7/10/2018,"$2,793.84"
7/9/2018,"$2,784.17"
7/6/2018,"$2,759.82"
7/5/2018,"$2,736.61"
7/3/2018,"$2,713.22"
7/2/2018,"$2,726.71"
6/29/2018,"$2,718.37"
6/28/2018,"$2,716.31"
6/27/2018,"$2,699.63"
6/26/2018,"$2,723.06"
6/25/2018,"$2,717.07"
6/22/2018,"$2,754.88"
6/21/2018,"$2,749.76"
6/20/2018,"$2,767.32"
6/19/2018,"$2,762.59"
6/18/2018,"$2,773.75"
6/15/2018,"$2,779.66"
6/14/2018,"$2,782.49"
6/13/2018,"$2,775.63"
6/12/2018,"$2,786.85"
6/11/2018,"$2,782.00"
6/8/2018,"$2,779.03"
6/7/2018,"$2,770.37"
6/6/2018,"$2,772.35"
6/5/2018,"$2,748.80"
6/4/2018,"$2,746.87"
6/1/2018,"$2,734.62"
5/31/2018,"$2,705.27"
5/30/2018,"$2,724.01"
5/29/2018,"$2,689.86"
5/25/2018,"$2,721.33"
5/24/2018,"$2,727.76"
5/23/2018,"$2,733.29"
5/22/2018,"$2,724.44"
5/21/2018,"$2,733.01"
5/18/2018,"$2,712.97"
5/17/2018,"$2,720.13"
5/16/2018,"$2,722.46"
5/15/2018,"$2,711.45"
5/14/2018,"$2,730.13"
5/11/2018,"$2,727.72"
5/10/2018,"$2,723.07"
5/9/2018,"$2,697.79"
5/8/2018,"$2,671.92"
5/7/2018,"$2,672.63"
5/4/2018,"$2,663.42"
5/3/2018,"$2,629.73"
5/2/2018,"$2,635.67"
5/1/2018,"$2,654.80"
4/30/2018,"$2,648.05"
4/27/2018,"$2,669.91"
4/26/2018,"$2,666.94"
4/25/2018,"$2,639.40"
4/24/2018,"$2,634.56"
4/23/2018,"$2,670.29"
4/20/2018,"$2,670.14"
4/19/2018,"$2,693.13"
4/18/2018,"$2,708.64"
4/17/2018,"$2,706.39"
4/16/2018,"$2,677.84"
4/13/2018,"$2,656.30"
4/12/2018,"$2,663.99"
4/11/2018,"$2,642.19"
4/10/2018,"$2,656.87"
4/9/2018,"$2,613.16"
4/6/2018,"$2,604.47"
4/5/2018,"$2,662.84"
4/4/2018,"$2,644.69"
4/3/2018,"$2,614.45"
4/2/2018,"$2,581.88"
3/29/2018,"$2,640.87"
3/28/2018,"$2,605.00"
3/27/2018,"$2,612.62"
3/26/2018,"$2,658.55"
3/23/2018,"$2,588.26"
3/22/2018,"$2,643.69"
3/21/2018,"$2,711.93"
3/20/2018,"$2,716.94"
3/19/2018,"$2,712.92"
3/16/2018,"$2,752.01"
3/15/2018,"$2,747.33"
3/14/2018,"$2,749.48"
3/13/2018,"$2,765.31"
3/12/2018,"$2,783.02"
3/9/2018,"$2,786.57"
3/8/2018,"$2,738.97"
3/7/2018,"$2,726.80"
3/6/2018,"$2,728.12"
3/5/2018,"$2,720.94"
3/2/2018,"$2,691.25"
3/1/2018,"$2,677.67"
2/28/2018,"$2,713.83"
2/27/2018,"$2,744.28"
2/26/2018,"$2,779.60"
2/23/2018,"$2,747.30"
2/22/2018,"$2,703.96"
2/21/2018,"$2,701.33"
2/20/2018,"$2,716.26"
2/16/2018,"$2,732.22"
2/15/2018,"$2,731.20"
2/14/2018,"$2,698.63"
2/13/2018,"$2,662.94"
2/12/2018,"$2,656.00"
2/9/2018,"$2,619.55"
2/8/2018,"$2,581.00"
2/7/2018,"$2,681.66"
2/6/2018,"$2,695.14"
2/5/2018,"$2,648.94"
2/2/2018,"$2,762.13"
2/1/2018,"$2,821.98"
1/31/2018,"$2,823.81"
1/30/2018,"$2,822.43"
1/29/2018,"$2,853.53"
1/26/2018,"$2,872.87"
1/25/2018,"$2,839.25"
1/24/2018,"$2,837.54"
1/23/2018,"$2,839.13"
1/22/2018,"$2,832.97"
1/19/2018,"$2,810.30"
1/18/2018,"$2,798.03"
1/17/2018,"$2,802.56"
1/16/2018,"$2,776.42"
1/12/2018,"$2,786.24"
1/11/2018,"$2,767.56"
1/10/2018,"$2,748.23"
1/9/2018,"$2,751.29"
1/8/2018,"$2,747.71"
1/5/2018,"$2,743.15"
1/4/2018,"$2,723.99"
1/3/2018,"$2,713.06"
1/2/2018,"$2,695.81"
12/29/2017,"$2,673.61"
12/28/2017,"$2,687.54"
12/27/2017,"$2,682.62"
12/26/2017,"$2,680.50"
12/22/2017,"$2,683.34"
12/21/2017,"$2,684.57"
12/20/2017,"$2,679.25"
12/19/2017,"$2,681.47"
12/18/2017,"$2,690.16"
12/15/2017,"$2,675.81"
12/14/2017,"$2,652.01"
12/13/2017,"$2,662.85"
